Año,Entidad,Municipio_x,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total de Incidentes,Latitud,Longitud
2015,Yucatán,Abalá,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0,0,20.655195953480362,-89.65038353858385
2015,Yucatán,Abalá,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0,0,20.655195953480362,-89.65038353858385
2015,Yucatán,Abalá,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,0,0,0,0,0,0,0,0,0,0,0,0,20.655195953480362,-89.65038353858385
2015,Yucatán,Abalá,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0,0,0,0,0,0,0,0,0,0,20.655195953480362,-89.65038353858385
2015,Yucatán,Abalá,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0,0,20.655195953480362,-89.65038353858385
2015,Yucatán,Abalá,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0,0,20.655195953480362,-89.65038353858385
2015,Yucatán,Abalá,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,0,0,0,0,0,0,0,0,0,0,0,0,0,20.655195953480362,-89.65038353858385
2015,Yucatán,Abalá,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0,0,0,0,0,0,0,0,0,0,20.655195953480362,-89.65038353858385
2015,Yucatán,Abalá,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0,0,0,0,0,0,0,0,20.655195953480362,-89.65038353858385
2015,Yucatán,Abalá,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0,0,20.655195953480362,-89.65038353858385
